id,titulo,titulos_alternativos,ano_lancamento
249,InuYasha,"['犬夜叉', 'Inu Yasha', 'InuYasha', 'Inuyasha']",2000.0
250,Zatch Bell!,"['Konjiki no Gash Bell!!', 'Zatch Bell!', '金色のガッシュベル!!']",2003.0
251,Kyou kara Maou!,"['Kyou kara Maou!', 'Kyo Kara Maoh!', 'King from now on!', '今日からマ王！', 'Maruma', 'God? Save Our King']",2004.0
252,Madlax,"['マドラックス', 'Madlax']",2004.0
260,Happy☆Lesson (TV),"['Happy☆Lesson', 'Happy Lesson', 'Happy☆Lesson (TV)', 'HAPPY☆LESSON']",2002.0
263,Fighting Spirit,"['はじめの一歩 THE FIGHTING!', 'Hajime no Ippo', 'Hajime no Ippo: Espíritu de Lucha', 'Hajime no Ippo: The Fighting', 'IPPO Le Challenger', 'The First Step', 'Fighting Spirit']",2000.0
267,Gungrave,"['ガングレイヴ', 'Gungrave']",2003.0
269,Bleach,"['BLEACH - ブリーチ -', 'Bleach']",2004.0
270,Hellsing,"['Hellsing', 'Hellsing [ヘルシング]']",2001.0
271,Gad Guard,"['Gad Guard', 'ガドガード']",2003.0
272,Noir,"['Noir', 'ノワール']",2001.0
276,Mahoromatic: Automatic Maiden,"['Mahoromantic: Automatic Maiden', 'Mahoromatic: Automatic Maiden', 'まほろまてぃっく']",2001.0
278,Viewtiful Joe,"['Viewtiful Joe', 'ビューティフル ジョー', 'Beautiful Joe']",2004.0
282,Angel Heart,"['エンジェル・ハート', 'Angel Heart']",2005.0
283,Anne of Green Gables,"['Akage no Anne', 'Anne the Redhead', 'Red haired Anne', '赤毛のアン', 'Anne of Green Gables', 'Sekai Meisaku Gekijou', 'Ana de las Tejas Verdes', 'Anne et la maison aux pignons verts']",1979.0
285,Argento Soma,"['AΠHENTO ΣOMA', 'Argento Soma', 'アルジェント ソーマ']",2000.0
286,B'T X,"['btx', ""B'tX"", 'B`T X\u3000ビート・エックス', ""B't X"", ""B'T X""]",1996.0
287,Baki the Grappler,"['グラップラー刃牙', 'Baki the Grappler', 'Grappler Baki (TV)']",2001.0
288,Beyblade,"['Bakuten Shoot Beyblade', '爆転シュート\u3000ベイブレード', 'Beyblade']",2001.0
289,Comic Party,"['Comic Party', 'こみっくパーティー']",2001.0
290,Crest of the Stars,"['Seikai no Monshou', '星界の紋章', 'Crest of The Stars', 'Crest of the Stars']",1999.0
292,Hoop Days,"['Hoop Days', 'ディア・ボーイズ', 'Dear Boys']",2003.0
293,Di Gi Charat,"['DiGi Charat', 'デ・ジ･キャラット', 'Di Gi Charat']",1999.0
294,Divergence Eve,"['ダイバージェンス・イヴ', 'Divergence Eve']",2003.0
296,Dragon Drive,"['ドラゴンドライブ', 'Dragon Drive']",2002.0
297,Grenadier: The Beautiful Warrior,"['グレネーダー 〜ほほえみの閃士〜', 'Grenadier: The Smiling Senshi', 'Grenadier: The Beautiful Warrior', 'Grenadier: Hohoemi no Senshi']",2004.0
301,Cinderella Boy,"['シンデレラボーイ', 'Cinderella Boy']",2003.0
302,Future Boy Conan,"['Conan: el Niño del Futuro', 'Future Boy Conan', 'Mirai Shounen Conan', '未来少年コナン', 'The Boy in Future']",1978.0
303,Oh! My Goddess: The Adventures of Mini-Goddess,"['Ah! My Goddess!: Chichaitte Koto wa Benri da ne', 'Oh! My Goddess: The Adventures of Mini-Goddess', 'Aa! Megami-sama!: Chichaitte Koto wa Benri da ne', 'Oh! My Goddess: Being Small is Convenient', 'ああっ女神さまっ 小っちゃいって事は便利だねっ']",1998.0
306,Magical☆Shopping Arcade Abenobashi,"['アベノ橋魔法☆商店街', 'Magical Shopping Arcade Abenobashi', 'Abenobashi Mahoh Shotengai', 'Abenobashi Magic Shopping District', 'Magical☆Shopping Arcade Abenobashi', 'Abenobashi Mahou☆Shoutengai', 'Magical Shopping Street Abenobashi']",2002.0
308,Zettai Shounen,"['Zettai Shounen', 'Zettai Shonen', 'Absolute Boy', '絶対少年']",2005.0
309,Akahori's Heretical Hour Love Game,"['Soreyuke! Gedou Otometai', 'あかほり外道アワーらぶげ', 'Akahori Gedou Hour Love Game', 'Zettai Seigi Love Pheromone', 'Akahori Gedou Hour Rabuge', 'Absolute Justice Love Pheromone', ""Akahori's Heretical Hour Love Game""]",2005.0
311,Aim for the Ace!,"['Jeu, Set et Match!', 'Aim for the Ace!', 'エースをねらえ!', 'Ace o Nerae', 'Ace wo Nerae!']",1973.0
318,Hand Maid May,"['HAND MAID メイ', 'Hand Maid May']",2000.0
321,Najica Blitz Tactics,"['Najica Blitz Tactics', 'ナジカ電撃作戦', 'Najica Dengeki Sakusen']",2001.0
322,Paradise Kiss,"['ParaKiss', 'Paradise kiss', 'Paradise Kiss']",2005.0
323,Paranoia Agent,"['Paranoja Agent', 'Paranoia Agent', '妄想代理人', 'Mousou Dairinin']",2004.0
324,Patlabor: The Mobile Police - The TV Series,"['Patlabor : The Mobile Police', 'Kido Keisatsu Patlabor', 'Patlabor: The Mobile Police - The TV Series', 'Kidou Keisatsu Patlabor: On Television', 'Patlabor', 'Mobile Police Patlabor ON TELEVISION', '機動警察パトレイバー ON TELEVISION']",1989.0
325,Peach Girl: Super Pop Love Hurricane,"['ピーチガール', 'Peach Girl: Super Pop Love Hurricane', 'Peach Girl']",2005.0
326,Pet Shop of Horrors,"['Pet Shop of Horrors (ペットショップ・オブ・ホラーズ)', 'Petshop of Horrors', 'Pet Shop of Horrors']",1999.0
328,Piano: The Melody of a Young Girl's Heart,"['PIANO', ""Piano: The Melody of a Young Girl's Heart"", 'Piano']",2002.0
329,Planetes,"['ΠΛΑΝΗΤΕΣ', 'プラネテス', 'Planetes']",2003.0
330,Midori Days,"['Midori Days: Midori no Hibi', 'My Days With Midori', '美鳥の日々', 'Midori Days', 'Midori no Hibi']",2004.0
334,Marmalade Boy,"['Marmalade Boy', 'ママレード・ボーイ']",1994.0
335,Mythical Detective Loki Ragnarok,"['Mythical Detective Loki Ragnarok', 'Le Détective Légendaire Loki Ragnarok', 'Matantei Loki Ragnarok', '魔探偵ロキ RAGNAROK']",2003.0
336,Ginyuu Mokushiroku Meine Liebe,"['吟遊黙示録 マイネリーベ', 'Meine Liebe', 'Ginyuu Mokushiroku Meine Liebe', 'My Love']",2004.0
338,The Rose of Versailles,"['Lady Oscar', 'ベルサイユのばら', 'The Rose of Versailles', 'Berusaiyu no Bara', 'Versailles no Bara', 'Die Rose von Versailles']",1979.0
339,Serial Experiments Lain,"['シリアルエクスペリメンツレイン', 'Serial Experiments Lain']",1998.0
340,Time of Shura,"['Shura no Toki - Age of Chaos', 'Time of Shura', '陸奥圓明流外伝 修羅の刻', 'Mutsu Enmei Ryuu Gaiden: Shura no Toki', ""L'Ère des Shura"", 'Shura no Toki']",2004.0
